,ConstituentID,Classification,DateAcquired,Cataloged,ObjectID,Height(cm),Width(cm)
90033,34222.0,Photograph,15/05/2008,Y,117116,50.7,63.6
69647,4823.0,Print,09/11/2000,Y,76527,47.0,46.0
32591,4546.0,Drawing,08/05/1990,Y,35655,50.16510033,74.93014986
81411,2229.0,Print,24/01/2001,Y,95058,30.0,22.5
105621,41333.0,Painting,15/02/2012,Y,156694,198.1203962,157.480315
79163,8494.0,Drawing,10/02/2004,Y,89363,19.685,29.2101
46354,956.0,Photograph,14/04/1964,N,50528,24.1,35.0
72192,4587.0,Painting,08/06/1992,Y,79579,12.7,25.3
69389,5695.0,Print,04/12/1969,N,76242,50.9,70.8
18537,511.0,Illustrated Book,06/10/1964,Y,20879,7.3,17.2
100216,38741.0,Print,10/11/2010,Y,142729,53.97510795,43.18008636
89462,7824.0,Video,10/12/2007,Y,114591,,
109125,630.0,Print,03/10/2012,N,167450,35.0,25.0
23572,3842.0,Illustrated Book,09/11/1965,N,25947,28.2,22.7
99398,8595.0,Photograph,07/10/2010,Y,141037,10.4,5.9
40678,1000.0,Photograph,27/01/1942,Y,44471,25.1,16.5
12126,5809.0,Illustrated Book,02/05/1990,N,14167,36.0,100.2
59037,2107.0,Print,11/04/1967,Y,64684,25.0,22.2
103392,3964.0,Print,12/05/1970,Y,149921,16.7,11.7
94574,6115.0,Sculpture,08/10/2008,Y,130625,17.0,10.5
29162,6532.0,Illustrated Book,06/10/1964,N,31585,32.1,24.4
58839,4609.0,Print,24/03/1949,Y,64443,19.3,26.7
92255,1533.0,Print,12/11/2007,N,122551,29.6,42.0
23353,1633.0,Illustrated Book,09/11/1965,N,25728,34.5,28.3
62252,6165.0,Print,24/05/1951,Y,68299,18.3,26.4
21990,1500.0,Illustrated Book,06/10/1964,N,24360,16.1,10.5
112688,96.0,Design,05/11/1970,Y,179239,15.87503175,7.937515875
100036,710.0,Print,10/11/2010,Y,142198,39.1,27.9
88900,7166.0,Mies van der Rohe Archive,,N,110991,49.53009906,102.2352045
81714,670.0,Drawing,10/05/2005,Y,95579,55.88011176,76.2001524
24002,2274.0,Illustrated Book,06/10/1964,N,26377,17.4,21.7
114474,41291.0,Print,02/10/2014,Y,185794,30.0,14.2
66439,2923.0,Print,17/11/1993,Y,72943,75.0,63.0
18528,511.0,Illustrated Book,06/10/1964,Y,20870,8.4,7.0
89352,7961.0,Drawing,07/10/2009,Y,114246,46.0,23.0
17351,3528.0,Illustrated Book,19/01/1988,Y,19672,20.0,20.0
98589,2590.0,Photograph,10/11/1971,Y,139574,33.0,46.3
52497,7851.0,Photograph,09/11/1965,Y,57053,17.6,12.7
58685,3894.0,Print,04/05/1988,N,64268,,
125085,25414.0,Print,21/03/2018,Y,282271,63.2,101.2
72118,2252.0,Painting,25/10/1985,Y,79492,126.7,157.5
91149,710.0,Print,08/10/2008,Y,119575,27.7,21.9
16697,3641.0,Illustrated Book,29/09/1949,N,18993,20.2,12.2
114131,1533.0,Photograph,08/05/2014,N,185109,21.7487935,28.41630683
93753,6269.0,Multiple,08/10/2008,Y,128148,40.7,19.2
103765,710.0,Print,07/02/2012,Y,150602,20.0,14.7
50778,3979.0,Photograph,22/04/1959,N,55280,26.6,34.1
102016,795.0,Sculpture,12/05/2011,Y,146972,10.1,6.7
86385,4315.0,Photograph,12/10/2006,Y,105288,46.0,57.2
60774,4164.0,Print,11/10/1950,Y,66590,28.8,55.2
10987,107.0,Illustrated Book,14/05/1987,N,12916,36.0,47.3
49166,924.0,Photograph,30/11/1960,Y,53458,27.2,34.5
55469,1752.0,Print,02/03/1959,Y,60645,51.4,33.1
36922,229.0,Photograph,06/03/1968,Y,40627,,
117596,5933.0,Drawing,03/06/2015,Y,196330,18.41503683,15.24003048
91916,3228.0,Print,12/11/2007,N,120952,36.0,55.0
50629,8595.0,Photograph,06/06/1967,Y,55125,7.0,5.8
71337,4016.0,Painting,06/04/1955,Y,78471,116.8,89.5
10537,1492.0,Illustrated Book,09/05/1975,N,12457,7.3,
22921,1646.0,Illustrated Book,06/10/1964,N,25295,4.9,6.2
5045,3020.0,Design,22/05/1939,N,6636,76.2,114.3
107685,1633.0,Print,06/12/1966,N,164091,,
625,7166.0,Mies van der Rohe Archive,11/01/1966,Y,780,76.2002,101.6002
99432,8595.0,Photograph,07/10/2010,Y,141071,11.0,7.8
89934,710.0,Print,18/06/2008,Y,116468,30.2,42.6
55637,2943.0,Print,13/03/1947,Y,60821,,
25161,8476.0,Illustrated Book,24/01/2001,N,27557,21.1,16.6
6207,1520.0,Design,10/12/1999,Y,7875,10.5,14.9
126829,5066.0,Illustrated Book,24/01/2001,Y,292021,23.5,16.5
23883,2274.0,Illustrated Book,06/10/1964,N,26258,21.5,15.1
85346,4546.0,Print,08/03/2006,Y,102225,31.3,31.5
45981,1877.0,Photograph,07/06/1990,Y,50143,38.2,37.9
27726,4840.0,Illustrated Book,06/10/1964,Y,30139,14.0,21.5
115348,8033.0,Drawing,02/10/2014,Y,188862,48.5,54.5
101920,35285.0,Print,18/06/2008,Y,146819,3.0,4.0
3751,7453.0,Design,09/05/1995,N,5245,161.3,107.0
82109,28635.0,Drawing,10/05/2005,Y,95995,177.8004,225.4254509
31712,4016.0,Drawing,06/03/1973,Y,34490,21.9,16.8
92900,28596.0,Print,13/01/2009,Y,126097,54.2,49.5
121179,6459.0,Frank Lloyd Wright Archive,,N,207297,59.37261875,91.44018288
62587,4707.0,Print,30/09/1954,N,68678,14.6,18.4
137,8219.0,Architecture,19/01/2000,Y,194,37.5,28.5
68308,5270.0,Print,07/10/1985,Y,75081,29.5,17.4
60346,5716.0,Print,07/05/1963,N,66121,6.3,6.2
85736,25520.0,Photograph,11/05/2006,N,103424,30.4801,24.13
89468,7824.0,Video,10/12/2007,Y,114597,,
86342,1048.0,Illustrated Book,08/03/2006,Y,105190,27.7,34.5
75356,13012.0,Periodical,24/01/2001,Y,83963,30.0,23.0
10743,2991.0,Print,08/05/1962,Y,12669,34.7,46.6
55262,97.0,Print,09/02/1967,N,60416,39.9,39.9
50000,1629.0,Photograph,17/12/1981,Y,54471,21.8,16.3
40697,3648.0,Photograph,13/01/1994,N,44492,24.5,19.5
124712,8496.0,Illustrated Book,21/03/2018,Y,277561,28.8,33.5
40663,924.0,Photograph,12/02/1973,Y,44455,22.3,24.5
102993,33825.0,Ephemera,07/02/2012,Y,149200,59.0,42.0
115563,2553.0,Design,04/06/2015,Y,190171,,
113711,24409.0,Audio,10/10/2013,Y,184304,31.5,24.0
21027,1081.0,Illustrated Book,06/10/1964,N,23390,34.2,22.8
45704,2002.0,Photograph,15/06/1995,N,49842,31.5,47.3
68151,2668.0,Print,05/04/1940,N,74908,23.4,30.3
80327,5863.0,Photograph,26/02/1981,N,92824,47.2,34.0
40207,959.0,Photograph,13/01/1983,N,43976,21.1,17.5
72461,3832.0,Painting,08/11/1956,Y,79957,146.0,97.0
112821,96.0,Design,05/11/1970,N,180204,,11.43
59938,5493.0,Print,23/04/1974,Y,65662,59.0,73.0
35807,229.0,Photograph,06/03/1968,N,39512,,
92437,924.0,Photograph,07/10/2009,Y,124513,5.8,5.5
49347,6398.0,Photograph,21/05/1980,N,53645,29.0,42.7
105312,37719.0,Print,17/11/2009,N,155976,,
48387,1000.0,Photograph,18/12/1986,Y,52648,25.2,37.7
93200,756.0,Print,08/10/2008,Y,127304,28.0,21.5
64307,1832.0,Print,03/11/1966,Y,70602,14.0,10.3
117664,5349.0,Film,08/02/2017,Y,196696,,
120014,45943.0,Design,19/10/2015,Y,202202,5.556261113,10.47752096
5547,4016.0,Design,24/05/1951,N,7175,,
74050,8452.0,Drawing,08/05/2001,Y,82219,45.0851,61.9126
81648,540.0,Drawing,10/05/2005,Y,95512,17.78,28.5751
51309,2015.0,Photograph,08/12/1976,Y,55831,16.5,20.3
103037,6115.0,Multiple,,Y,149325,9.6,3.5
109336,6459.0,Frank Lloyd Wright Archive,15/10/2012,Y,167931,48.26009652,88.9001778
36253,229.0,Photograph,06/03/1968,Y,39958,,
71868,3607.0,Painting,10/05/1977,Y,79168,235.6,441.1
109462,2325.0,Photograph,09/05/2013,Y,168578,60.96012192,50.8001016
77915,7166.0,Mies van der Rohe Archive,,N,87369,15.24,20.955
129642,922.0,Illustrated Book,06/10/1964,Y,405445,20.3,16.5
109608,42362.0,Architecture,15/10/2012,Y,168725,29.84505969,20.95504191
3002,8462.0,Design,25/10/1956,Y,4260,,
49513,607.0,Photograph,13/10/1994,Y,53957,57.4,47.0
10489,1492.0,Illustrated Book,09/05/1975,N,12409,7.2,5.3
20556,1055.0,Illustrated Book,06/10/1964,N,22919,30.0,23.6
80979,1752.0,Print,19/02/1958,Y,94253,32.3,49.8
52358,6399.0,Photograph,14/12/1978,N,56911,21.8,32.8
51005,17816.0,Photograph,08/12/1976,Y,55518,31.4,24.8
46254,5006.0,Photograph,13/06/1996,N,50425,23.5,32.1
44153,3716.0,Photograph,16/01/1941,N,48150,22.7,29.2
15014,826.0,Illustrated Book,24/10/1973,N,17210,24.5,20.8
5314,5219.0,Design,18/11/1985,Y,6912,57.8,32.5
40060,229.0,Photograph,06/03/1968,Y,43824,,
24600,3409.0,Illustrated Book,06/10/1964,N,26993,25.0,18.8
80180,5863.0,Photograph,26/02/1981,N,92673,47.2,34.0
17026,3821.0,Illustrated Book,29/09/1949,Y,19326,23.2,15.0
38185,229.0,Photograph,06/03/1968,N,41891,,
40550,416.0,Photograph,15/01/1986,Y,44337,29.1,24.5
110124,41829.0,Print,07/02/2013,N,169340,,
49741,924.0,Photograph,08/10/1996,Y,54199,24.3,36.7
108279,30621.0,Print,03/10/2012,Y,165217,11.3,15.1
50764,3373.0,Photograph,15/06/1995,N,55266,31.0,47.2
77645,5486.0,Illustrated Book,13/11/2001,N,86787,9.8,12.0
24232,2981.0,Illustrated Book,06/10/1964,Y,26613,8.8,11.9
18613,542.0,Illustrated Book,06/10/1964,Y,20955,5.8,8.1
117401,710.0,Print,02/03/2000,Y,195944,30.48006096,43.18008636
42260,7027.0,Photograph,16/04/1987,Y,46121,41.0,59.1
58368,3121.0,Print,12/05/1970,Y,63897,48.6,36.8
125620,48637.0,Photograph,17/05/2018,Y,284344,52.38760478,39.68757938
19439,665.0,Illustrated Book,06/10/1964,N,21794,18.8,8.5
120618,10328.0,Design,19/10/2015,Y,204780,10.16002032,8.89001778
61405,7499.0,Print,19/12/1958,Y,67340,33.0,23.1
105860,1063.0,Photograph,13/02/2012,Y,157545,35.9,48.8
116682,5145.0,Photograph,28/05/2015,Y,193961,,
120082,1464.0,Design,19/10/2015,Y,202503,9.52501905,15.24003048
94085,37262.0,Painting,21/09/2009,Y,128931,17.78003556,20.32004064
85798,30889.0,Print,01/06/2006,N,103513,47.0,31.5
92827,4609.0,Illustrated Book,06/10/1964,Y,125900,22.5,13.5
88141,26178.0,Drawing,10/05/2005,N,109265,20.955,27.9401
79681,24600.0,Photograph,13/12/2001,N,91503,15.7,22.7
123953,37006.0,Photograph,08/10/2008,N,274487,5.3,7.0
64074,5318.0,Print,12/01/1954,Y,70336,23.1,21.0
117702,6982.0,Photograph,15/10/2015,N,196927,154.9403099,119.3802388
79020,1973.0,Photograph,09/10/2003,N,89083,34.4,25.7
55771,2931.0,Print,09/02/1967,N,60971,57.8,70.7
25693,3753.0,Drawing,06/10/1964,Y,28093,19.2,23.5
114446,1533.0,Photograph,08/05/2014,N,185627,21.7487935,28.41630683
102018,795.0,Print,16/05/2011,Y,146974,55.0,74.5
103704,710.0,Print,03/10/2012,Y,150541,25.2,20.0
38444,229.0,Photograph,06/03/1968,Y,42151,,
112334,45094.0,Photograph,20/02/2014,Y,177659,19.5,29.9
56333,313.0,Print,20/05/1952,N,61611,29.4,94.0
57630,4823.0,Print,01/05/1979,Y,63080,89.1,85.0
78456,7166.0,Mies van der Rohe Archive,06/11/1974,Y,87961,10.3,17.3
95102,67710.0,Print,08/10/2008,N,131591,21.0,30.0
112447,710.0,Illustrated Book,28/05/1997,Y,178003,21.0,12.7
7902,689.0,Illustrated Book,19/01/1988,Y,9618,15.2,22.8
129362,8595.0,Photograph,,Y,405165,,
10314,97.0,Illustrated Book,09/05/1975,N,12231,25.4,25.4
65444,1388.0,Print,12/11/1998,Y,71833,34.9,24.8
55638,3832.0,Print,30/01/1951,Y,60822,14.0,9.9
101419,7855.0,Photograph,10/02/2011,N,145112,27.1,34.7
662,3250.0,Architecture,31/10/2000,Y,823,59.7,42.5
76693,5821.0,Drawing,01/01/1942,Y,85430,33.6551,27.9401
53865,6329.0,Photograph,01/05/1968,Y,58486,19.2,24.1
57326,5086.0,Print,05/03/1970,Y,62714,15.0,18.6
92818,4609.0,Illustrated Book,06/10/1964,Y,125891,23.5,10.0
67083,4071.0,Print,25/01/1994,Y,73688,42.8,33.7
118666,49123.0,Print,27/10/2015,Y,199806,14.3,10.5
7541,540.0,Illustrated Book,21/01/1982,Y,9244,29.0,21.0
22555,6077.0,Illustrated Book,06/10/1964,N,24928,22.9,22.3
130523,1093.0,Illustrated Book,24/01/2001,N,416975,12.2,17.7
122165,7961.0,Print,21/03/2018,Y,219366,47.30759462,22.86004572
118199,6015.0,Design,19/10/2015,Y,198723,27.94005588,21.59004318
27159,4609.0,Illustrated Book,06/10/1964,Y,29564,33.5,25.0
60710,5021.0,Print,05/10/1972,Y,66525,51.4,76.3
31085,5640.0,Drawing,28/04/1981,Y,33788,12.7,20.3
98960,6115.0,Print,08/10/2008,Y,140221,22.5,31.2
27938,5053.0,Illustrated Book,06/10/1964,N,30351,21.7,20.0
126324,7644.0,Design,12/02/2018,N,289813,,
3341,5274.0,Design,11/12/2000,Y,4727,37.7826,
123711,,Photograph,,N,273341,19.5,24.1
1147,5168.0,Design,17/01/1990,Y,1980,17.78,20.32
96571,8383.0,Drawing,11/04/2007,Y,134878,30.48006096,47.30759462
102188,39325.0,Print,16/05/2011,N,147153,0.0,0.0
59492,1652.0,Print,16/10/1991,Y,65171,45.2,56.2
120569,5145.0,Photograph,28/05/2015,Y,204728,25.4000508,17.78003556
22112,1500.0,Illustrated Book,06/10/1964,N,24482,4.3,4.0
6921,1314.0,Design,01/12/1969,Y,8604,94.8,64.8
93017,5910.0,Print,11/07/1946,Y,126481,28.8,23.8
42544,959.0,Photograph,13/01/1983,N,46412,21.0,27.0
4453,6502.0,Design,22/04/1998,Y,6016,103.1,72.9
51593,3810.0,Photograph,10/11/1983,Y,56132,25.7,35.6
10401,2115.0,Illustrated Book,10/05/1934,Y,12320,38.5,31.5
90741,35204.0,Painting,08/02/2012,N,118903,105.4102108,59.05511811
47481,4362.0,Photograph,18/06/1992,N,51702,27.2,41.3
71122,2877.0,Print,13/12/1967,N,78179,42.8,57.3
63976,4609.0,Print,05/04/1940,Y,70224,17.9,12.9
12826,3842.0,Illustrated Book,20/05/1992,N,14885,,
14725,5042.0,Illustrated Book,22/10/1981,N,16902,8.3,13.0
49940,1629.0,Photograph,17/12/1981,Y,54410,16.1,21.6
47453,8138.0,Photograph,14/12/1989,N,51674,29.5,56.0
39662,229.0,Photograph,06/03/1968,Y,43424,,
7895,689.0,Illustrated Book,19/01/1988,Y,9611,22.8,15.1
8056,1547.0,Illustrated Book,23/01/1991,N,9774,54.5,38.0
47676,5966.0,Photograph,22/04/1959,N,51901,40.3,29.2
99014,36944.0,Drawing,08/10/2008,N,140421,5.71501143,30.7975616
123090,1873.0,Audio,,N,223153,0.0,0.0
122586,5281.0,Drawing,,Y,221762,,
24880,6624.0,Illustrated Book,06/10/1964,Y,27276,36.4,25.2
61248,3762.0,Print,19/12/1947,N,67161,,
21948,1500.0,Illustrated Book,06/10/1964,N,24318,4.0,3.4
92086,710.0,Illustrated Book,02/06/2005,Y,121733,27.0,33.8
26624,4016.0,Illustrated Book,06/10/1964,Y,29027,27.8,43.3
21391,1492.0,Illustrated Book,06/10/1964,N,23758,5.2,6.1
44989,8595.0,Photograph,14/05/1975,N,49080,7.4,7.8
44042,1690.0,Photograph,14/05/1975,N,48038,33.5,48.8
36748,229.0,Photograph,06/03/1968,N,40453,,
32102,5654.0,Drawing,04/04/1978,Y,34998,57.5,38.7
73506,751.0,Sculpture,13/12/1961,Y,81399,32.4,17.1
108892,32299.0,Work on Paper,04/02/2013,N,167045,69.21513843,50.16510033
17459,3505.0,Illustrated Book,22/04/1959,N,19782,48.0,37.9
43496,5456.0,Photograph,08/06/1989,Y,47422,,
84258,2898.0,Print,08/03/2005,N,98842,55.8801,71.1201
114515,4506.0,Photograph,09/10/2014,Y,185884,50.8001016,76.2001524
19651,744.0,Illustrated Book,06/10/1964,N,22010,8.5,22.8
130369,1093.0,Illustrated Book,24/01/2001,N,416821,3.1,3.1
67909,3314.0,Print,28/10/1969,Y,74646,82.0,52.4
57419,5215.0,Print,05/05/1982,Y,62824,21.2,37.2
71320,3403.0,Painting,02/03/1959,Y,78445,121.9,172.7
105052,665.0,Illustrated Book,06/10/1964,Y,155471,5.2,6.7
116597,5145.0,Photograph,28/05/2015,Y,193876,,
20126,1055.0,Illustrated Book,06/10/1964,N,22489,21.4,27.7
61351,6624.0,Print,06/10/1948,N,67280,55.0,42.7
56940,2483.0,Print,13/02/1963,N,62313,66.1,50.8
127926,30876.0,Drawing,04/04/2019,Y,299226,,
64086,5320.0,Print,29/09/1949,Y,70349,23.0,22.9
59549,6192.0,Print,02/03/1978,Y,65233,46.8,46.8
112574,45461.0,Architecture,19/05/2014,Y,178906,79.0,64.77012954
85626,25520.0,Photograph,11/05/2006,N,103314,30.4801,24.13
17378,3528.0,Illustrated Book,19/01/1988,Y,19699,20.0,20.1
12744,3742.0,Illustrated Book,26/05/1949,N,14803,23.1,15.2
57765,5804.0,Print,27/09/1944,N,63224,19.7,9.3
37935,229.0,Photograph,06/03/1968,N,41641,,
74446,2964.0,Architecture,01/01/1967,Y,82714,5.08,25.4001
6793,5947.0,Design,10/12/1999,Y,8475,29.8,21.0
52217,5238.0,Photograph,10/12/1998,N,56770,50.6,34.5
44766,773.0,Photograph,01/06/1993,Y,48798,37.9,47.9
103062,255.0,Print,08/01/1976,Y,149357,28.1,21.7
53213,4508.0,Photograph,13/12/1979,Y,57801,21.8,16.6
68852,3864.0,Print,10/01/1974,Y,75668,36.7,33.0
105984,1815.0,Illustrated Book,16/05/2011,Y,158432,51.5,81.5
16645,2558.0,Illustrated Book,10/11/1976,Y,18938,8.9,15.3
68409,472.0,Print,10/01/1974,Y,75190,53.2,52.0
30726,1965.0,Drawing,06/04/1960,Y,33371,68.6,101.9
39212,229.0,Photograph,06/03/1968,N,42939,,
99698,6246.0,Film,,N,141422,,
112032,2637.0,Audio,08/10/2008,N,175292,0.0,0.0
47835,1717.0,Photograph,20/10/1938,Y,52065,34.0,25.4
82309,28667.0,Drawing,10/05/2005,Y,96227,27.9401,21.59
75795,710.0,Print,18/06/2008,Y,84457,30.0,25.3
8158,5381.0,Illustrated Book,23/01/1991,N,9880,31.5,48.0
1648,10092.0,Design,01/04/1934,N,2638,,
6526,5173.0,Design,30/11/1983,Y,8204,72.8,51.4
98954,6115.0,Painting,08/10/2008,N,140214,10.0,12.9
120657,10328.0,Design,19/10/2015,Y,204828,27.94005588,21.59004318
81795,1048.0,Drawing,10/05/2005,Y,95666,51.4351,41.2751
86392,4315.0,Photograph,12/10/2006,Y,105295,46.0,57.2
59720,4289.0,Print,26/10/1982,Y,65423,90.0,62.2
49424,712.0,Photograph,10/06/1941,Y,53723,24.1,17.1
89610,34124.0,Drawing,11/12/2007,Y,114769,26.98755398,20.63754128
8383,1889.0,Illustrated Book,23/01/1991,Y,10113,35.7,23.9
39861,229.0,Photograph,06/03/1968,Y,43624,,
76368,909.0,Drawing,10/12/1941,Y,85070,29.2101,19.685
37917,229.0,Photograph,06/03/1968,N,41623,,
103834,710.0,Print,03/10/2012,Y,150671,30.1,25.0
113913,45185.0,Architecture,06/10/2014,Y,184853,38.1000762,27.94005588
73897,4591.0,Sculpture,25/10/1985,Y,81944,68.6,38.1
92635,7929.0,Print,12/11/2007,N,125325,28.0,21.4
84955,6972.0,Print,18/01/1993,N,101397,9.0,67.7
69004,3296.0,Print,,Y,75832,30.7,22.5
93740,6115.0,Multiple,08/10/2008,Y,128130,30.0,8.5
32127,6582.0,Drawing,13/06/1935,Y,35033,38.7,56.5
72734,4609.0,Painting,09/12/1996,Y,80393,127.0,90.8
118622,37228.0,Print,27/10/2015,Y,199696,20.0,17.5
7006,23390.0,Design,10/12/1999,Y,8692,18.6,54.4
43085,739.0,Photograph,13/05/1982,Y,46992,25.8,35.0
36002,229.0,Photograph,06/03/1968,Y,39707,,
56255,3149.0,Print,06/04/1955,Y,61512,36.2,31.5
84466,1633.0,Print,,Y,100085,,
40499,2323.0,Photograph,13/01/1994,N,44283,22.5,29.5
84786,1752.0,Print,12/11/1935,Y,100599,45.8788,33.0201
2944,2674.0,Design,16/12/1954,Y,4201,18.415,
18910,542.0,Illustrated Book,06/10/1964,Y,21252,5.7,8.2
107502,6459.0,Architecture,04/05/1993,Y,163809,,
126192,5526.0,Drawing,05/11/2018,Y,289416,17.46253493,27.62255525
64046,200.0,Print,03/11/1966,N,70303,,
95894,26770.0,Print,17/11/2009,Y,133138,9.8,9.9
65611,4515.0,Print,08/06/1965,N,72020,54.5,84.2
101122,7662.0,Drawing,07/02/2011,Y,144621,,
972,5865.0,Design,,Y,1642,78.7402,55.5626
118880,28723.0,Print,27/10/2015,Y,200253,27.7,21.4
22783,1633.0,Illustrated Book,06/10/1964,Y,25157,19.7,19.6
345,3250.0,Architecture,21/09/1994,Y,464,21.0,28.6
46176,181.0,Photograph,13/10/1976,Y,50346,28.5,36.2
104515,871.0,Drawing,26/09/2011,N,152757,20.32004064,25.4000508
64676,107.0,Print,17/10/1978,Y,71005,7.6,9.8
20134,1055.0,Illustrated Book,06/10/1964,N,22497,27.8,21.2
58729,4609.0,Print,24/03/1949,Y,64318,19.4,26.7
86163,7986.0,Architecture,,Y,104701,11.43,9.2075
121357,48488.0,Film,18/10/2016,Y,215481,,
86046,27669.0,Print,01/06/2006,Y,104041,20.1,16.3
38420,229.0,Photograph,06/03/1968,N,42127,,
5294,6502.0,Design,21/09/1994,Y,6892,83.8,59.0
27109,24331.0,Illustrated Book,24/01/2001,N,29514,16.9,12.8
36951,229.0,Photograph,06/03/1968,N,40656,,
103299,40400.0,Print,04/06/1985,N,149758,33.0,38.0
94610,710.0,Illustrated Book,14/04/2009,Y,130724,28.0,35.0
108557,3927.0,Illustrated Book,07/10/1965,Y,165864,35.5,21.6
64805,3723.0,Print,08/11/1994,Y,71148,,
59991,3197.0,Print,11/10/1950,Y,65719,47.8,43.5
110642,7166.0,Mies van der Rohe Archive,,Y,170169,41.9101,29.8451
7975,647.0,Illustrated Book,09/01/1986,N,9693,37.5,27.9
7748,196.0,Illustrated Book,09/01/1986,N,9462,,
113168,7166.0,Mies van der Rohe Archive,01/01/1968,N,182242,,
125161,23308.0,Print,24/01/2001,Y,282572,23.4,18.2
113745,8100.0,Architecture,19/05/2014,Y,184411,13.65252731,19.68503937
67061,3923.0,Print,29/12/1942,N,73662,42.8,35.5
51555,3008.0,Photograph,10/11/1983,N,56094,18.0,15.7
122217,6448.0,Print,30/03/2017,Y,219816,41.3,31.7
9306,5053.0,Illustrated Book,24/03/1949,Y,11132,56.7,42.0
104841,5607.0,Work on Paper,08/02/2012,N,154657,83.82016764,55.88011176
96777,21398.0,(not assigned),08/10/2008,N,135192,6.2,43.0
17420,72.0,Illustrated Book,28/10/1980,N,19743,30.9,42.0
39536,229.0,Photograph,06/03/1968,Y,43298,,
104488,40740.0,Print,12/03/2008,Y,152671,24.2,23.5
10345,6645.0,Illustrated Book,22/01/1992,N,12262,26.6,13.8
24095,3302.0,Illustrated Book,07/02/1967,N,26470,20.4,15.4
96316,649.0,Print,20/05/1999,N,134107,27.4,21.1
49303,6447.0,Photograph,15/12/1988,N,53598,15.9,15.6
28648,5626.0,Illustrated Book,06/10/1964,N,31063,12.6,7.0
37332,229.0,Photograph,06/03/1968,N,41037,,
64188,2923.0,Print,15/06/1964,Y,70467,40.8,31.0
6168,4540.0,Design,10/12/1981,Y,7836,69.5,94.7
40556,5755.0,Photograph,06/01/1939,N,44343,24.8,19.7
67193,1633.0,Print,09/11/1965,Y,73811,30.1,23.2
125333,6520.0,Illustrated Book,,N,283519,19.1,21.2
91700,4415.0,Video,01/07/1997,N,120497,,
76281,375.0,Drawing,06/12/1966,Y,84983,29.2101,22.225
50779,6399.0,Photograph,13/11/1973,Y,55282,22.9,34.0
68202,5928.0,Print,13/12/1967,N,74965,22.5,15.0
117679,48791.0,Design,19/10/2015,Y,196749,242.5704851,122.5552451
89108,8595.0,Photograph,11/10/2007,Y,111453,5.3,5.1
6354,4048.0,Design,10/12/1999,Y,8027,36.8,50.5
82392,28676.0,Drawing,10/05/2005,Y,96311,33.0201,24.13
21299,5639.0,Illustrated Book,04/06/1968,N,23666,15.1,12.6
115002,45185.0,Architecture,,N,187489,,
106088,7816.0,Video,16/02/2012,Y,159733,,
28966,6177.0,Illustrated Book,06/10/1964,N,31385,23.7,19.9
49116,6272.0,Photograph,09/10/1997,Y,53405,34.5,27.0
6993,23390.0,Design,10/12/1999,Y,8679,29.7,20.8
1778,1249.0,Design,01/04/1934,Y,2805,37.2,
23662,1818.0,Illustrated Book,06/10/1964,N,26037,22.7,17.0
74142,2948.0,Drawing,11/12/2001,Y,82318,43.8151,56.5151
117447,48665.0,Print,27/10/2015,Y,196013,0.0,0.0
82005,28613.0,Drawing,10/05/2005,Y,95885,28.5751,22.225
29132,6468.0,Illustrated Book,06/10/1964,N,31555,8.8,13.2
73813,2141.0,Sculpture,10/01/1967,Y,81824,5.7,3.8
4376,5189.0,Design,22/04/1998,Y,5931,65.8,96.9
102756,5281.0,Print,16/05/2011,Y,148408,18.0,13.6
118829,5839.0,Print,27/10/2015,Y,200202,9.8,14.8
89866,3963.0,Drawing,08/04/2008,Y,116345,74.93014986,105.0927102
122624,68232.0,Photograph,26/10/2017,Y,221819,51.43510287,76.2001524
23705,1975.0,Illustrated Book,06/10/1964,N,26080,20.1,31.3
1437,7077.0,Design,04/05/1993,Y,2365,73.6,66.0401
92048,36123.0,Drawing,10/02/2009,N,121695,43.18008636,27.94005588
10206,1084.0,Illustrated Book,29/12/1944,N,12123,17.2,20.0
57146,4823.0,Print,06/03/1997,Y,62530,159.0,130.6
61535,6677.0,Print,19/12/1958,N,67487,,
38548,229.0,Photograph,06/03/1968,Y,42255,,
107353,710.0,Print,21/05/2013,Y,163275,108.6,98.8
96481,37946.0,Print,09/03/2010,Y,134691,50.0,42.0
17289,1470.0,Illustrated Book,29/09/1949,Y,19605,24.0,17.8
45023,3648.0,Photograph,10/05/1973,N,49120,23.8,19.6
42222,1330.0,Photograph,27/03/1985,N,46083,24.7,19.2
128966,7474.0,Print,01/04/2020,Y,402083,12.7,7.2
31862,1832.0,Drawing,08/02/1966,Y,34680,42.86258573,58.42011684
64284,1130.0,Print,08/06/1965,Y,70576,57.5,31.5
51298,5631.0,Photograph,27/10/1970,N,55818,24.1,19.3
13789,5469.0,Periodical,07/05/1952,Y,15912,30.7,24.7
123080,45391.0,Print,18/10/2017,Y,222990,109.2,76.2
45480,5267.0,Photograph,,Y,49604,23.8,18.6
73660,890.0,Sculpture,06/10/1964,Y,81597,101.0,49.5
126389,7644.0,Design,12/02/2018,N,289878,,
65055,5451.0,Print,05/04/1940,Y,71419,19.5,16.6
94849,398.0,Photograph,09/11/1965,N,131169,,
35720,229.0,Photograph,06/03/1968,Y,39425,,
10291,97.0,Illustrated Book,09/05/1975,N,12208,25.4,32.9
115593,6795.0,Photograph,29/01/2015,Y,190264,,
49151,6399.0,Photograph,11/06/1998,Y,53441,21.6,32.5
