,ConstituentID,Classification,DateAcquired,Cataloged,ObjectID,Height(cm),Width(cm)
35464,229.0,Photograph,06/03/1968,Y,39169,,
25344,3697.0,Illustrated Book,06/10/1964,N,27741,13.6,12.2
32051,1559.0,Drawing,12/05/1970,Y,34917,48.9,27.3
100515,1633.0,Print,09/11/1965,Y,143443,54.0,40.0
87619,7166.0,Mies van der Rohe Archive,,Y,107213,38.1000762,53.97510795
67785,4397.0,Print,23/01/1979,Y,74515,15.7,17.3
59181,1807.0,Print,09/04/1963,N,64840,48.7,35.7
81096,7961.0,Drawing,08/02/2005,Y,94488,48.2601,23.8125
83228,5042.0,Drawing,10/05/2005,Y,97204,15.24,10.16
128943,50083.0,Photograph,12/11/2019,Y,401819,121.2852426,171.4503429
72349,3147.0,Painting,13/06/1978,Y,79792,110.5,110.5
54175,6008.0,Photograph,14/06/2001,Y,58799,16.7,20.9
49762,1629.0,Photograph,17/12/1981,Y,54225,15.1,21.2
37477,229.0,Photograph,06/03/1968,Y,41183,,
122460,1784.0,Drawing,21/03/2018,Y,220962,46.1,69.5
5762,5926.0,Design,17/05/1983,Y,7411,61.0,45.6
62208,3048.0,Print,22/01/1992,Y,68255,82.0,39.5
93330,29427.0,Drawing,08/10/2008,Y,127471,40.1,24.0
49491,607.0,Photograph,13/10/1994,Y,53933,57.4,47.0
45371,3939.0,Photograph,10/05/1973,Y,49491,22.6,33.7
77155,1201.0,Drawing,,Y,86116,51.1,33.7
120433,6168.0,Architecture,10/06/2016,N,204188,57.1501143,88.9001778
4038,6362.0,Design,16/06/1955,Y,5567,87.0,86.4
11978,833.0,Illustrated Book,02/05/1990,N,14012,21.8,25.8
99918,38678.0,Installation,13/10/2010,N,141895,4.44500889,0.476250953
4657,11799.0,Design,30/10/1937,N,6227,102.2,64.1
59418,4609.0,Print,24/03/1949,Y,65094,27.8,19.7
46974,2358.0,Photograph,09/06/1994,N,51173,5.4,6.7
120989,7928.0,Ephemera,08/06/2016,Y,206069,27.9,21.6
84349,5042.0,Print,11/03/2004,Y,99000,17.3,14.4
17480,4569.0,Illustrated Book,22/04/1959,N,19803,27.9,37.5
66415,3748.0,Print,19/12/1956,Y,72919,10.8,2.8
101050,,Periodical,10/11/2010,N,144458,30.8,23.2
6078,869.0,Design,10/12/1999,Y,7743,30.6,21.1
117491,41829.0,Print,,N,196144,,
94969,35728.0,Drawing,08/10/2008,N,131382,9.2,14.0
9043,4744.0,Illustrated Book,10/02/1977,Y,10812,35.0,27.5
20555,1055.0,Illustrated Book,06/10/1964,N,22918,29.6,23.8
83369,28800.0,Drawing,10/05/2005,Y,97353,83.18516637,98.42519685
92539,37653.0,Work on Paper,,N,124687,73.66014732,50.8001016
64035,1039.0,Print,10/11/1976,Y,70292,89.6,66.3
48672,1973.0,Photograph,22/04/1959,N,52942,21.3,32.5
102057,1388.0,Drawing,12/05/2011,Y,147013,31.11506223,22.54254509
31447,5640.0,Drawing,28/04/1981,Y,34201,27.9,21.6
39941,229.0,Photograph,06/03/1968,Y,43705,,
36105,229.0,Photograph,06/03/1968,Y,39810,,
31076,5640.0,Drawing,28/04/1981,Y,33779,12.7,7.6
80357,5863.0,Photograph,26/02/1981,N,92854,47.2,34.0
9358,2419.0,Illustrated Book,05/02/1968,Y,11187,30.4,22.9
30047,2915.0,Illustrated Book,18/10/1967,N,32538,7.4,9.9
1717,6011.0,Design,07/03/1968,Y,2727,41.2751,64.2939
113996,46384.0,Architecture,06/10/2014,Y,184969,20.32004064,25.4000508
109980,41829.0,Print,07/02/2013,N,169196,,
70655,4434.0,Print,10/01/1974,Y,77655,54.5,45.6
129857,1859.0,Print,04/06/2007,Y,407223,42.0,29.8
70155,8476.0,Photograph,24/05/2001,Y,77060,22.3,15.3
127143,5121.0,Drawing,30/03/2017,Y,294359,28.57505715,16.82753366
109921,41829.0,Print,07/02/2013,N,169137,,
108804,6109.0,Print,10/02/1969,N,166579,,
44847,6329.0,Photograph,12/11/1935,Y,48908,19.2,24.4
103774,710.0,Print,03/10/2012,Y,150611,10.8,6.8
51620,5685.0,Photograph,,N,56159,24.6,19.8
128460,131253.0,Photograph,12/11/2019,Y,397780,17.46253493,17.93878588
52644,8611.0,Photograph,10/12/1996,Y,57201,172.0,232.0
30100,1238.0,Print,18/10/1967,Y,32592,53.1,65.4
49105,1690.0,Photograph,05/12/1984,Y,53394,17.2,25.4
34060,2999.0,Drawing,10/12/1941,N,37462,,
95374,6115.0,Video,08/10/2008,N,132018,0.0,0.0
110013,41829.0,Print,07/02/2013,N,169229,,
23163,1646.0,Illustrated Book,06/10/1964,N,25538,23.2,16.0
103996,710.0,Print,03/10/2012,Y,150833,17.9,13.2
55822,3580.0,Print,05/02/1968,Y,61024,25.1,30.5
37101,229.0,Photograph,06/03/1968,N,40806,,
20102,1055.0,Illustrated Book,06/10/1964,N,22465,28.8,22.2
114566,44956.0,Architecture,06/10/2014,N,185986,0.0,0.0
42425,6327.0,Photograph,05/04/1940,Y,46287,19.0,24.1
109065,630.0,Print,03/10/2012,N,167390,35.0,25.0
32667,3542.0,Drawing,17/09/1987,Y,35740,61.6,86.7
34880,8333.0,Drawing,13/02/2001,Y,38506,10.8,9.2
23253,1646.0,Illustrated Book,06/10/1964,N,25628,11.4,17.2
88104,32472.0,Design,05/06/2007,Y,109200,20.955,14.9225
109780,6104.0,Print,22/05/1978,N,168923,,
70302,1633.0,Print,11/12/1968,N,77240,52.0,38.2
78957,2002.0,Photograph,11/12/2003,N,89015,50.8001,40.6401
77941,7166.0,Mies van der Rohe Archive,,N,87395,15.24,21.6
116122,48036.0,Design,04/06/2015,Y,192653,71.12014224,45.72009144
50409,1000.0,Photograph,10/12/1987,Y,54891,24.2,35.7
127587,34784.0,Film,04/04/2019,N,298490,,
38351,229.0,Photograph,06/03/1968,N,42058,,
92908,5486.0,Print,13/01/2009,Y,126106,37.8,55.4
7920,806.0,Illustrated Book,23/01/1991,Y,9636,54.2,43.7
68424,4126.0,Print,11/01/1966,Y,75205,56.3,76.5
110348,41829.0,Print,07/02/2013,N,169564,,
50964,264.0,Photograph,10/12/1941,N,55477,11.7,16.5
127481,41829.0,Ephemera,21/03/2018,N,297171,24.13004826,29.84505969
39002,229.0,Photograph,06/03/1968,Y,42710,,
20958,1081.0,Illustrated Book,06/10/1964,N,23321,9.1,7.5
32574,673.0,Drawing,17/09/1987,Y,35634,74.93014986,104.7752096
95440,21398.0,Multiple,08/10/2008,Y,132108,9.2,7.5
47914,2811.0,Photograph,11/05/1978,N,52154,70.0,50.8
35673,229.0,Photograph,06/03/1968,N,39378,,
59200,4609.0,Print,24/03/1949,Y,64860,19.3,27.0
82636,3615.0,Drawing,10/05/2005,Y,96563,44.5,29.8
94715,37554.0,Drawing,07/10/2009,Y,130949,215.9004318,114.3002286
22478,6077.0,Illustrated Book,06/10/1964,N,24850,19.8,17.0
