ConstituentID,Classification,DateAcquired,Cataloged,ObjectID,Height,Width
6459,Frank Lloyd Wright Archive,,N,174003,29.52755906,40.95758192
2284,Drawing,11/12/1968,Y,38679,30.2,22.5
31342,Print,01/06/2006,N,104805,47,31.5
4016,Illustrated Book,07/02/1972,Y,393092,18.5,38.7
6318,Print,10/05/1966,Y,65770,21.6,41
1500,Illustrated Book,06/10/1964,N,24582,28.8,23.8
5821,Drawing,01/01/1942,N,33585,0,0
6459,Frank Lloyd Wright Archive,,N,200827,,
6115,Print,08/10/2008,Y,140237,19.5,80
710,Print,06/03/1997,Y,61319,21,15.8
86,Design,04/12/1957,Y,6140,41,41.6
3877,Design,25/10/1956,Y,4353,,
37517,Photograph,,N,273048,17.6,24
